"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J8";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"PSU";;;
2;"H4,H2,H3,H1";"MountingHole_2.5mm_Pad";4;"MountingHole_Pad";;;
3;"U4";"MODULE_ZC563900";1;"ZC563900 NodeMCU ESP12";;;
4;"C1,C3,C4,C2";"CP_Radial_D5.0mm_P2.50mm";4;"100uF";;;
5;"J4,J3";"PinSocket_1x15_P2.54mm_Vertical";2;"Conn_01x15_Socket";;;
6;"J14";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"OUT1";;;
7;"J17";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"OUT4";;;
8;"D2,D1";"LED_D3.0mm";2;"PINK";;;
9;"J2,J1";"PinHeader_1x15_P2.54mm_Vertical";2;"Conn_01x15_Pin";;;
10;"U2";"TO-220F-3_Vertical";1;"L7805";;;
11;"J12";"PinHeader_1x03_P2.54mm_Vertical";1;"5V";;;
12;"J10";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"FET";;;
13;"R1,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"560";;;
14;"J9";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"FAN";;;
15;"J16";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"OUT3";;;
16;"J11";"PinHeader_1x03_P2.54mm_Vertical";1;"3V3";;;
17;"J15";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"OUT2";;;
18;"J7";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
19;"J13";"PinHeader_1x03_P2.54mm_Vertical";1;"GND";;;
20;"U3";"TO-220F-3_Vertical";1;"L7812";;;
21;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_2_Open";;;
